Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
003612,00328000,Keystone College,One College Green,La Plume,PA,18440-0200,68,26,38.24%,462,841829                                                                                                                                                         
003613,00328200,Kings College,133 North  River Street,Wilkes-Barre,PA,18711-0801,212,35,16.51%,211,417113                                                                                                                                                 
003614,00332200,Kutztown University of Pennsylvania,15200 Kutztown Road,Kutztown,PA,19530-9339,161,25,15.53%,305,585280                                                                                                                                   
003615,00398700,La Roche College,9000 Babcock Boulevard,Pittsburgh,PA,15237-5898,67,10,14.93%,203,304570                                                                                                                                                  
003616,00328700,La Salle University,1900 West Olney Avenue,Philadelphia,PA,19141-1199,174,21,12.07%,359,678885                                                                                                                                            
003617,00328300,Lackawanna College,501 Vine Street,Scranton,PA,18509-9961,44,20,45.45%,104,135849                                                                                                                                                         
003618,00328400,Lafayette College,Markle Hall  High Street,Easton,PA,18042-1768,92,10,10.87%,64,272921                                                                                                                                                    
003621,00328500,Lancaster Bible College,901 Eden Road,Lancaster,PA,17601-5036,21,4,19.05%,33,48440                                                                                                                                                        
003622,00328800,Lebanon Valley College,101 North College Avenue,Annville,PA,17003-1400,143,11,7.69%,114,193939                                                                                                                                            
003623,00681000,Lehigh Carbon Community College,4525 Education Park Drive,Schnecksville,PA,18078-2598,74,18,24.32%,114,158057                                                                                                                             
003624,00328900,Lehigh University,27 Memorial Drive West,Bethlehem,PA,18015-1588,118,3,2.54%,25,54272                                                                                                                                                     
003627,00329000,Lincoln University,1570 Baltimore Pike,Lincoln University,PA,19352-0999,68,9,13.24%,1494,1563544                                                                                                                                          
003628,00332300,Lock Haven University of Pennsylvania,North Fairview Street,Lock Haven,PA,17745-2439,62,22,35.48%,205,245490                                                                                                                              
003632,00329300,Lycoming College,700 College Place,Williamsport,PA,17701-5192,111,20,18.02%,226,471327                                                                                                                                                    
003634,00329400,Manor College,700 Fox Chase Road,Jenkintown,PA,19046-3399,6,1,16.67%,99,151021                                                                                                                                                            
003635,00332400,Mansfield University of Pennsylvania,Academy Street,Mansfield,PA,16933-1123,192,30,15.63%,257,301631                                                                                                                                      
003638,00329600,Marywood University,2300 Adams Avenue,Scranton,PA,18509-1598,183,19,10.38%,156,237826                                                                                                                                                     
008013,00489800,McCann School of Business & Technology,2650 Woodglen Road,Pottsville,PA,17901-1335,13,1,7.69%,57,47660                                                                                                                                    
003643,00329700,Mercyhurst University,501 East 38th Street,Erie,PA,16546-0001,96,12,12.5%,198,497177                                                                                                                                                      
003644,00329800,Messiah College,One College Avenue,Mechanicsburg,PA,17055-0000,142,8,5.63%,168,307776                                                                                                                                                     
003645,00332500,Millersville University of Pennsylvania,101 North George Street,Millersville,PA,17551-1800,72,28,38.89%,110,298803                                                                                                                        
003563,00324700,Misericordia  University,301 Lake Street,Dallas,PA,18612-1008,113,17,15.04%,132,258478                                                                                                                                                    
003647,00330000,Moore College of Art and Design,20th and the Parkway,Philadelphia,PA,19103-1190,68,16,23.53%,182,406264                                                                                                                                   
003648,00330100,Moravian College,1200 Main Street,Bethlehem,PA,18018-6650,166,14,8.43%,134,241040                                                                                                                                                         
003650,00330200,Mount Aloysius College,7373 Admiral Peary Highway,Cresson,PA,16630-1999,44,9,20.45%,160,128600                                                                                                                                            
